2337;23263541.6273,4987195.0828,23482965.9289,5366146.5329
2338;374696.3379,3924285.4546,772431.6695,4552688.3504
2339;208063.8847,3230730.9238,791936.1153,5236075.5537
2340;203003.585,3026660.3366,796996.415,5452871.2628
2341;204104.8273,3072129.1489,795895.1727,5310558.2745
2342;188274.3198,2341523.5714,811725.6802,4785979.8104
2343;189119.8277,2385857.146,810880.1723,4708209.0701
2344;182473.0608,2012392.6414,817526.9392,5000440.8323
2345;190526.0032,2457902.5013,809473.9968,5714208.9193
2346;189958.7537,2429083.8646,810041.2463,5940021.8514
2347;247158.4323,4532694.8313,752841.5677,5854362.0049
2348;263541.6273,4987195.0828,482965.9289,5366146.5329
2349;25375272.438,3965341.5996,25635574.1937,4501679.17
2350;26356735.7972,3431941.9233,26643264.2028,4633844.823
2351;27355204.1523,3316627.5358,27644795.8477,5083844.652
2352;28352803.4359,3128169.23,28647196.5641,5232799.1866
2353;29352189.546,3078290.5894,29647810.454,5449619.6069
2354;30351531.4501,3023981.7348,30648468.5499,5365107.0505
2355;31352081.3628,3069423.5935,31647918.6372,5000488.8403
2356;32352748.5,3123735.4496,32647251.5,4929366.6464
2357;33344492.8487,2372538.9086,33655507.1513,4736040.8506
2358;34344176.9538,2339314.2068,34655823.0462,4729375.4248
2359;35345642.9984,2489941.8142,35654357.0016,4674943.5567
2360;36341362.2229,2020410.9179,36658637.7771,4704936.0886
2361;37341280.6625,2010446.6905,37658719.3375,4997154.8208
2362;38344631.0572,2386936.6228,38655368.9428,5034941.334
2363;39345821.1925,2507664.2432,39654178.8075,5528581.5401
2364;40345017.9483,2426808.3104,40654982.0517,5912397.9623
2365;41346776.3551,2600712.443,41653223.6449,5936880.3409
2366;42372281.1734,4452817.6515,42627718.8266,5897931.4999
2367;43374503.7054,4582752.5511,43625496.2946,5569734.3093
2368;44376543.0726,4699381.8164,44623456.9274,5417370.1633
2369;45383512.6733,5080553.0322,45482965.9289,5362883.1769
2370;375272.438,3965341.5996,635574.1937,4501679.17
2371;356735.7972,3431941.9233,643264.2028,4633844.823
2372;355204.1523,3316627.5358,644795.8477,5083844.652
2373;352803.4359,3128169.23,647196.5641,5232799.1866
2374;352189.546,3078290.5894,647810.454,5449619.6069
2375;351531.4501,3023981.7348,648468.5499,5365107.0505
2376;352081.3628,3069423.5935,647918.6372,5000488.8403
2377;352748.5,3123735.4496,647251.5,4929366.6464
2378;344492.8487,2372538.9086,655507.1513,4736040.8506
2379;344176.9538,2339314.2068,655823.0462,4729375.4248
2380;345642.9984,2489941.8142,654357.0016,4674943.5567
2381;341362.2229,2020410.9179,658637.7771,4704936.0886
2382;341280.6625,2010446.6905,658719.3375,4997154.8208
2383;344631.0572,2386936.6228,655368.9428,5034941.334
2384;345821.1925,2507664.2432,654178.8075,5528581.5401
2385;345017.9483,2426808.3104,654982.0517,5912397.9623
2386;346776.3551,2600712.443,653223.6449,5936880.3409
2387;372281.1734,4452817.6515,627718.8266,5897931.4999
2388;374503.7054,4582752.5511,625496.2946,5569734.3093
2389;376543.0726,4699381.8164,623456.9274,5417370.1633
2390;383512.6733,5080553.0322,482965.9289,5362883.1769
2391;1415795.8567,6632898.0371,1584204.1433,7691818.242
2392;2415669.8357,6627328.3173,2584330.1643,7758738.2673
2393;3049997.0487,6585250.7768,3761392.2103,7803169.4895
2394;4418712.0639,6761012.5312,4581287.9361,7758738.2673
2395;8227708.8366,1328245.8826,8826887.838,1661102.4243
2396;9175105.5386,1493833.8095,9716593.2691,1661101.4503
2397;3560434.538,5580291.5675,3606886.6354,5717831.4618
2398;4390150.9946,5419736.8531,4610103.4021,6067242.1812
2399;5384982.9245,5152896.3049,5615270.6353,6053880.2778
2400;1166653.6161,6131388.6471,2032341.6763,7690505.5552
2401;25375270.4053,3965410.0325,25635576.4032,4501756.6547
2402;26356733.4571,3432001.292,26643266.5429,4633924.5285
2403;27355201.7861,3316684.9373,27644798.2139,5083931.8888
2404;28352801.0286,3128223.4108,28647198.9714,5232888.9061
2405;29352187.1282,3078343.9167,29647812.8718,5449712.9314
2406;30351529.021,3024034.1322,30648470.979,5365198.9711
2407;31352078.9431,3069476.769,31647921.0569,5000574.6855
2408;32352746.0917,3123789.5546,32647253.9083,4929451.3031
2409;33344490.2987,2372580.1111,33655509.7013,4736122.2705
2410;34344174.3984,2339354.8364,34655825.6016,4729456.7329
2411;35345640.4683,2489985.0395,35654359.5317,4675023.9519
2412;36341359.6189,2020446.0409,36658640.3811,4705016.9869
2413;37341278.0571,2010481.6412,37658721.9429,4997240.6103
2414;38344628.5095,2386978.0735,38655371.4905,5035027.7546
2415;39345818.6654,2507707.7737,39654181.3346,5528676.1748
2416;40345015.4074,2426850.4482,40654984.5926,5912498.9458
2417;41346773.8444,2600757.5748,41653226.1556,5936981.7282
2418;42372279.0966,4452894.3142,42627720.9034,5898032.2447
2419;43374501.666,4582831.3985,43625498.334,5569829.6263
2420;44376541.0673,4699462.6216,44623458.9327,5417462.9523
2421;45383510.7846,5080640.2146,45482965.6531,5362975.0605
2422;375270.4053,3965410.0325,635576.4032,4501756.6547
2423;356733.4571,3432001.292,643266.5429,4633924.5285
2424;355201.7861,3316684.9373,644798.2139,5083931.8888
2425;352801.0286,3128223.4108,647198.9714,5232888.9061
2426;352187.1282,3078343.9167,647812.8718,5449712.9314
2427;351529.021,3024034.1322,648470.979,5365198.9711
2428;352078.9431,3069476.769,647921.0569,5000574.6855
2429;352746.0917,3123789.5546,647253.9083,4929451.3031
2430;344490.2987,2372580.1111,655509.7013,4736122.2705
2431;344174.3984,2339354.8364,655825.6016,4729456.7329
2432;345640.4683,2489985.0395,654359.5317,4675023.9519
2433;341359.6189,2020446.0409,658640.3811,4705016.9869
2434;341278.0571,2010481.6412,658721.9429,4997240.6103
2435;344628.5095,2386978.0735,655371.4905,5035027.7546
2436;345818.6654,2507707.7737,654181.3346,5528676.1748
2437;345015.4074,2426850.4482,654984.5926,5912498.9458
2438;346773.8444,2600757.5748,653226.1556,5936981.7282
2439;372279.0966,4452894.3142,627720.9034,5898032.2447
2440;374501.666,4582831.3985,625498.334,5569829.6263
2441;376541.0673,4699462.6216,623458.9327,5417462.9523
2442;383510.7846,5080640.2146,482965.6531,5362975.0605
2443;-119151.7544,-670387.2583,71489.0676,190309.418
2444;-129986.9073,-230053.314,109914.0009,113954.6618
2445;-131374.4354,-257624.7722,126428.2046,39764.7641
2446;-148229.3955,-38006.5255,126649.8737,178587.2094
2447;-111018.1417,-209065.0,105789.873,-35944.6737
2448;-107906.062,-287955.6846,93021.819,33909.6201
2449;-84129.233,-160642.9919,62714.0915,171276.7361
2450;-95048.2707,-211398.0689,131962.6912,296157.9678
2451;-85044.6807,-406697.373,96656.4509,-8388.7498
2452;-117528.9477,-251242.5239,109889.2498,181852.7768
2453;-77009.7494,-296162.252,83706.3341,167160.1244
2454;-83037.2186,-238338.8886,83037.2186,167160.1244
2455;-83037.2186,-238338.8886,226699.8841,40290.4885
2456;-153208.2504,-276540.1145,102134.382,222491.8206
2457;-152741.897,-231788.2464,254604.8025,124329.1159
